license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1491357,BOCKWINKELS,,Grocery Store,1,222 N COLUMBUS DR ,CHICAGO,IL,60601,41.88633942,-87.62083615,42
1491372,MORTON'S STEAKHOUSE-WACKER PLACE,MORTON'S STEAKHOUSE,Restaurant,1,65 E WACKER PL ,CHICAGO,IL,60601,41.88670423,-87.62549637,42
1491380,JAMAICA JERK,,Restaurant,1,1631 W HOWARD ST ,CHICAGO,IL,60626,42.01927259,-87.67246066,49
1491408,SUBWAY,,,2,335 S FRANKLIN ST ,CHICAGO,IL,60606,41.87725919,-87.63504134,42
1491413,BURRITO BEACH # 8,BURRITO BEACH,Restaurant,1,200 E OHIO ST ,CHICAGO,IL,60611,41.89267129,-87.6225722,42
1491420,WARSAME,,,3,4418 N BROADWAY ,CHICAGO,IL,60640,41.96223071,-87.65561018,46
1491426,UNCOMMON GROUND,,Restaurant,1,3800 N CLARK ST ,CHICAGO,IL,60613,41.95106405,-87.65979513,44
1491476,Sushi Luxe,,Restaurant,1,5204 N CLARK ST ,CHICAGO,IL,60640,41.97635748,-87.66856778,40
1491486,THUNDERBIRD - ARROYO,THUNDERBIRD - ARROYO TRUCK #,Mobile Food Dispenser,3,1204 W 36TH PL ,CHICAGO,IL,60609,41.82809413,-87.65585369,11
1491540,ENDY'S DELI INC.,,Grocery Store,1,3055 N MILWAUKEE AVE ,CHICAGO,IL,60618,41.93678038,-87.71981734,30
1491545,GOLDEN PACIFIC MARKET LLC,,Grocery Store,3,5353 N BROADWAY ,CHICAGO,IL,60640,41.97971182,-87.6598133,48
1491576,MRS. FIELDS COOKIES,,,3,222 W MERCHANDISE MART PLZ ,CHICAGO,IL,60654,41.88807428,-87.6349552,42
1491578,TACOS DON CUCO,,Restaurant,1,1847 W 47TH ST ,CHICAGO,IL,60609,41.80842825,-87.67168894,15
1491623,L & M REDHOTS,,Restaurant,1,5125 W 47TH ST ,CHICAGO,IL,60638,41.80740102,-87.75165637,22
1491634,SHINING STAR CHILD DEVELOPMENT INSTITUTE OF THE ARTS INC.,,Daycare Above and Under 2 Years,1,3010-3016 E 92ND ST ,CHICAGO,IL,60617,41.7283667,-87.55072922,10
1491636,SHINING STAR CHILD DEVELOPMENT INSTITUTE OF THE ARTS INC.,,Daycare Above and Under 2 Years,1,3010-3016 E 92ND ST ,CHICAGO,IL,60617,41.7283667,-87.55072922,10
1491661,ROYAL CHICKEN AND SEAFOOD,,Restaurant,2,4749 W MADISON ST ,CHICAGO,IL,60644,41.88039398,-87.74477336,28
1491674,JAMBA JUICE #628,,Restaurant,2,190 W MADISON ST ,CHICAGO,IL,60602,41.88205759,-87.63353327,42
1491676,JAMBA JUICE #629,,Restaurant,2,2112 N CLYBOURN AVE ,CHICAGO,IL,60614,41.91953593,-87.66172369,2
1491677,JAMBA JUICE #630,JAMBA JUICE,Restaurant,2,20 N MICHIGAN AVE ,CHICAGO,IL,60602,41.8825402,-87.62453094,42
1491700,LOS PINOS,,,3,4757 N WESTERN AVE ,CHICAGO,IL,60625,41.96841243,-87.68875511,47
1491801,TAQUERIA PONCITLAN #5,,Restaurant,1,3400 N CICERO AVE ,CHICAGO,IL,60641,41.94252001,-87.74711282,31
1491824,CENTRAL SAUSAGE,,,3,3246 N CENTRAL AVE ,CHICAGO,IL,60634,41.94000063,-87.76669661,30
1491831,MASCK,,,3,35 W ONTARIO ST ,CHICAGO,IL,60610,41.89314053,-87.62961416,42
1491848,CHITOWN SPORTS FACILITIES,,Restaurant,2,2343 S THROOP ST ,CHICAGO,IL,60608,41.84937723,-87.65847732,25
1491933,LEONAS,,Restaurant,1,9156 S STONY ISLAND AVE ,CHICAGO,IL,60617,41.72795238,-87.58558036,8
1491946,ACE COFFEE BAR INC,HAYMARKET CENTER,drug treatment facility,2,120 N Sangamon ST ,CHICAGO,IL,60607,41.88371508,-87.65106665,27
1491974,THUNDERBIRD CATERING CO,,,3,1204 W 36TH PL ,CHICAGO,IL,60609,41.82809413,-87.65585369,11
